"town","tract","lon","lat","medv","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
"Boston Charlestown",406,-71.046,42.23,10.4,10.4,88.9762,0,18.1,"0",0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
"Boston East Boston",407,-71.041,42.229,10.9,10.9,15.8744,0,18.1,"0",0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
"Boston East Boston",501,-71.023,42.2287,11.3,11.3,9.18702,0,18.1,"0",0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6
"Boston East Boston",502,-71.0215,42.227,12.3,12.3,7.99248,0,18.1,"0",0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56
"Boston East Boston",503,-71.0245,42.2235,8.8,8.8,20.0849,0,18.1,"0",0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
"Boston East Boston",504,-71.0235,42.2213,7.2,7.2,16.8118,0,18.1,"0",0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
"Boston East Boston",506,-71.0228,42.2231,10.5,10.5,24.3938,0,18.1,"0",0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28
"Boston East Boston",507,-71.0215,42.2248,7.4,7.4,22.5971,0,18.1,"0",0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99
"Boston East Boston",508,-71.0195,42.2255,10.2,10.2,14.3337,0,18.1,"0",0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62
"Boston East Boston",509,-71.0168,42.2281,11.5,11.5,8.15174,0,18.1,"0",0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
"Boston East Boston",510,-71.0109,42.23,15.1,15.1,6.96215,0,18.1,"0",0.7,5.713,97,1.9265,24,666,20.2,394.43,17.11
"Boston East Boston",511,-71.0035,42.233,23.2,23.2,5.29305,0,18.1,"0",0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
"Boston East Boston",512,-71.02,42.2205,9.7,9.7,11.5779,0,18.1,"0",0.7,5.036,97,1.77,24,666,20.2,396.9,25.68
"Boston South Boston",601,-71.0167,42.201,13.8,13.8,8.64476,0,18.1,"0",0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17
"Boston South Boston",602,-71.02,42.1993,12.7,12.7,13.3598,0,18.1,"0",0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35
"Boston South Boston",603,-71.022,42.1996,13.1,13.1,8.71675,0,18.1,"0",0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
"Boston South Boston",604,-71.026,42.1993,12.5,12.5,5.87205,0,18.1,"0",0.693,6.405,96,1.6768,24,666,20.2,396.9,19.37
"Boston South Boston",605,-71.025,42.2024,8.5,8.5,7.67202,0,18.1,"0",0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
"Boston South Boston",606,-71.023,42.209,5,5,38.3518,0,18.1,"0",0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59
"Boston South Boston",607,-71.033,42.2032,6.3,6.3,9.91655,0,18.1,"0",0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97
"Boston South Boston",608,-71.0326,42.2011,5.6,5.6,25.0461,0,18.1,"0",0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77
"Boston South Boston",609,-71.03,42.2015,7.2,7.2,14.2362,0,18.1,"0",0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32
"Boston South Boston",610,-71.03,42.1988,12.1,12.1,9.59571,0,18.1,"0",0.693,6.404,100,1.639,24,666,20.2,376.11,20.31
"Boston South Boston",612,-71.0332,42.198,8.3,8.3,24.8017,0,18.1,"0",0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77
"Boston South Boston",613,-71.0345,42.2001,8.5,8.5,41.5292,0,18.1,"0",0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
"Boston South Boston",614,-71.032,42.2057,5,5,67.9208,0,18.1,"0",0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98
"Boston Downtown",702,-71.039,42.2198,11.9,11.9,20.7162,0,18.1,"0",0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34
"Boston Downtown",703,-71.0427,42.209,27.9,27.9,11.9511,0,18.1,"0",0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13
"Boston Downtown",705,-71.0437,42.205,17.2,17.2,7.40389,0,18.1,"0",0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
"Boston Downtown",706,-71.0455,42.206,27.5,27.5,14.4383,0,18.1,"0",0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78
"Boston Downtown",707,-71.0462,42.2075,15,15,51.1358,0,18.1,"0",0.597,5.757,100,1.413,24,666,20.2,2.6,10.11
"Boston Downtown",708,-71.0487,42.2048,17.2,17.2,14.0507,0,18.1,"0",0.597,6.657,100,1.5275,24,666,20.2,35.05,21.22
"Boston Downtown",709,-71.047,42.203,17.9,17.9,18.811,0,18.1,"0",0.597,4.628,100,1.5539,24,666,20.2,28.79,34.37
"Boston Downtown",710,-71.0451,42.2015,16.3,16.3,28.6558,0,18.1,"0",0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08
"Boston Roxbury",801,-71.042,42.1985,7,7,45.7461,0,18.1,"0",0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98
"Boston Roxbury",802,-71.0455,42.1953,7.2,7.2,18.0846,0,18.1,"0",0.679,6.434,100,1.8347,24,666,20.2,27.25,29.05
"Boston Roxbury",803,-71.0477,42.1965,7.5,7.5,10.8342,0,18.1,"0",0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
"Boston Roxbury",805,-71.0498,42.2007,10.4,10.4,25.9406,0,18.1,"0",0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
"Boston Roxbury",807,-71.0525,42.1989,8.8,8.8,73.5341,0,18.1,"0",0.679,5.957,100,1.8026,24,666,20.2,16.45,20.62
"Boston Roxbury",808,-71.0586,42.1999,8.4,8.4,11.8123,0,18.1,"0",0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
"Boston Roxbury",809,-71.0618,42.199,16.7,16.7,11.0874,0,18.1,"0",0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02
"Boston Roxbury",810,-71.065,42.2018,14.2,14.2,7.02259,0,18.1,"0",0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7
"Boston Roxbury",811,-71.0665,42.197,20.8,20.8,12.0482,0,18.1,"0",0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1
"Boston Roxbury",812,-71.0619,42.1948,13.4,13.4,7.05042,0,18.1,"0",0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29
"Boston Roxbury",813,-71.059,42.192,11.7,11.7,8.79212,0,18.1,"0",0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
"Boston Roxbury",814,-71.0577,42.1967,8.3,8.3,15.8603,0,18.1,"0",0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
"Boston Roxbury",815,-71.0558,42.1937,10.2,10.2,12.2472,0,18.1,"0",0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69
"Boston Roxbury",816,-71.0542,42.1961,10.9,10.9,37.6619,0,18.1,"0",0.679,6.202,78.7,1.8629,24,666,20.2,18.82,14.52
"Boston Roxbury",817,-71.0521,42.194,11,11,7.36711,0,18.1,"0",0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52
"Boston Roxbury",818,-71.0485,42.192,9.5,9.5,9.33889,0,18.1,"0",0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08
"Boston Roxbury",819,-71.0547,42.189,14.5,14.5,8.49213,0,18.1,"0",0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64
"Boston Roxbury",820,-71.0505,42.188,14.1,14.1,10.0623,0,18.1,"0",0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
"Boston Roxbury",821,-71.052,42.1854,16.1,16.1,6.44405,0,18.1,"0",0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
"Boston Savin Hill",901,-71.0495,42.1815,14.3,14.3,5.58107,0,18.1,"0",0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
"Boston Savin Hill",902,-71.0475,42.1842,11.7,11.7,13.9134,0,18.1,"0",0.713,6.208,95,2.2222,24,666,20.2,100.63,15.17
"Boston Savin Hill",903,-71.046,42.1867,13.4,13.4,11.1604,0,18.1,"0",0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
"Boston Savin Hill",904,-71.0455,42.1893,9.6,9.6,14.4208,0,18.1,"0",0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
"Boston Savin Hill",905,-71.0445,42.1917,8.7,8.2,15.1772,0,18.1,"0",0.74,6.152,100,1.9142,24,666,20.2,9.32,26.45
"Boston Savin Hill",906,-71.0445,42.1938,8.4,8.4,13.6781,0,18.1,"0",0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
"Boston Savin Hill",907,-71.037,42.194,12.8,12.8,9.39063,0,18.1,"0",0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
"Boston Savin Hill",908,-71.0321,42.1925,10.5,10.5,22.0511,0,18.1,"0",0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
"Boston Savin Hill",910,-71.0345,42.185,17.1,17.1,9.72418,0,18.1,"0",0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52
"Boston Savin Hill",911,-71.034,42.189,18.4,14.8,5.66637,0,18.1,"0",0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59
"Boston Savin Hill",912,-71.0378,42.1892,15.4,15.4,9.96654,0,18.1,"0",0.74,6.485,100,1.9784,24,666,20.2,386.73,18.85
"Boston Savin Hill",913,-71.0405,42.192,10.8,10.8,12.8023,0,18.1,"0",0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79
"Boston Savin Hill",914,-71.0425,42.189,11.8,11.8,10.6718,0,18.1,"0",0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98
"Boston Savin Hill",915,-71.039,42.1868,14.9,14.9,6.28807,0,18.1,"0",0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79
"Boston Savin Hill",916,-71.037,42.184,12.6,12.6,9.92485,0,18.1,"0",0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44
"Boston Savin Hill",917,-71.04,42.182,14.1,14.1,9.32909,0,18.1,"0",0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13
"Boston Savin Hill",918,-71.0428,42.1845,13,13,7.52601,0,18.1,"0",0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31
"Boston Savin Hill",919,-71.046,42.181,13.4,13.4,6.71772,0,18.1,"0",0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44
"Boston Savin Hill",920,-71.041,42.1795,15.2,15.2,5.44114,0,18.1,"0",0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
"Boston Savin Hill",921,-71.034,42.179,16.1,16.1,5.09017,0,18.1,"0",0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27
"Boston Savin Hill",922,-71.04,42.177,17.8,17.8,8.24809,0,18.1,"0",0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74
"Boston Savin Hill",923,-71.0455,42.1768,14.9,14.4,9.51363,0,18.1,"0",0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71
"Boston Savin Hill",924,-71.051,42.178,14.1,14.1,4.75237,0,18.1,"0",0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13
"Boston Dorchester",1001,-71.0517,42.1735,12.7,12.7,4.66883,0,18.1,"0",0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01
"Boston Dorchester",1002,-71.0515,42.17,13.5,13.5,8.20058,0,18.1,"0",0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
"Boston Dorchester",1003,-71.0475,42.169,14.9,14.9,7.75223,0,18.1,"0",0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
"Boston Dorchester",1004,-71.043,42.169,20,20,6.80117,0,18.1,"0",0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7
"Boston Dorchester",1005,-71.043,42.1728,16.4,16.4,4.81213,0,18.1,"0",0.713,6.701,90,2.5975,24,666,20.2,255.23,16.42
"Boston Dorchester",1006,-71.035,42.1745,17.7,17.7,3.69311,0,18.1,"0",0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
"Boston Dorchester",1007,-71.031,42.1695,19.5,19.5,6.65492,0,18.1,"0",0.713,6.317,83,2.7344,24,666,20.2,396.9,13.99
"Boston Dorchester",1008,-71.0358,42.1675,20.2,20.2,5.82115,0,18.1,"0",0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
"Boston Dorchester",1009,-71.045,42.164,21.4,21.4,7.83932,0,18.1,"0",0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
"Boston Dorchester",1010,-71.055,42.165,19.9,19.9,3.1636,0,18.1,"0",0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13
"Boston Dorchester",1011,-71.055,42.1685,19,19,3.77498,0,18.1,"0",0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15
"Boston Mattapan",1101,-71.066,42.178,19.1,19.1,4.42228,0,18.1,"0",0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32
"Boston Mattapan",1102,-71.07,42.168,19.1,19.1,15.5757,0,18.1,"0",0.58,5.926,71,2.9084,24,666,20.2,368.74,18.13
"Boston Mattapan",1103,-71.069,42.1725,20.1,20.1,13.0751,0,18.1,"0",0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
"Boston Mattapan",1104,-71.074,42.168,19.9,19.9,4.34879,0,18.1,"0",0.58,6.167,84,3.0334,24,666,20.2,396.9,16.29
"Boston Mattapan",1105,-71.0825,42.1698,19.6,19.6,4.03841,0,18.1,"0",0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
"Boston Mattapan",1106,-71.0833,42.175,23.2,23.2,3.56868,0,18.1,"0",0.58,6.437,75,2.8965,24,666,20.2,393.37,14.36
"Boston Forest Hills",1201,-71.0732,42.184,29.8,29.8,4.64689,0,18.1,"0",0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66
"Boston Forest Hills",1202,-71.055,42.183,13.8,13.8,8.05579,0,18.1,"0",0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
"Boston Forest Hills",1203,-71.0511,42.1879,13.3,13.3,6.39312,0,18.1,"0",0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1
"Boston Forest Hills",1204,-71.0565,42.188,16.7,16.7,4.87141,0,18.1,"0",0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
"Boston Forest Hills",1205,-71.0528,42.192,12,12,15.0234,0,18.1,"0",0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
"Boston Forest Hills",1206,-71.0558,42.1913,14.6,14.6,10.233,0,18.1,"0",0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
"Boston Forest Hills",1207,-71.067,42.1945,21.4,21.4,14.3337,0,18.1,"0",0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11
"Boston West Roxbury",1301,-71.1008,42.174,23,23,5.82401,0,18.1,"0",0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
"Boston West Roxbury",1302,-71.095,42.173,23.7,23.7,5.70818,0,18.1,"0",0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74
"Boston West Roxbury",1303,-71.09,42.1665,25,25,5.73116,0,18.1,"0",0.532,7.061,77,3.4106,24,666,20.2,395.28,7.01
"Boston West Roxbury",1304,-71.0975,42.1608,21.8,21.8,2.81838,0,18.1,"0",0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42
"Boston Hyde Park",1401,-71.0804,42.154,20.6,20.6,2.37857,0,18.1,"0",0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34
"Boston Hyde Park",1402,-71.075,42.1455,21.2,21.2,3.67367,0,18.1,"0",0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
"Boston Hyde Park",1403,-71.0715,42.155,19.1,19.1,5.69175,0,18.1,"0",0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98
"Boston Hyde Park",1404,-71.065,42.161,20.6,20.6,4.83567,0,18.1,"0",0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
"Chelsea",1601,-71.0189,42.2344,15.2,15.2,0.15086,0,27.74,"0",0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06
"Chelsea",1602,-71.0228,42.2335,7,7,0.18337,0,27.74,"0",0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97
"Chelsea",1604,-71.0245,42.2368,8.1,8.1,0.20746,0,27.74,"0",0.609,5.093,98,1.8226,4,711,20.1,318.43,29.68
"Chelsea",1605,-71.016,42.2382,13.6,13.6,0.10574,0,27.74,"0",0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07
"Chelsea",1606,-71.0297,42.2447,20.1,20.1,0.11132,0,27.74,"0",0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35
"Revere",1701,-71.0125,42.2462,21.8,21.8,0.17331,0,9.69,"0",0.585,5.707,54,2.3817,6,391,19.2,396.9,12.01
"Revere",1702,-71.0125,42.25,24.5,24.5,0.27957,0,9.69,"0",0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59
"Revere",1703,-71.0105,42.2547,23.1,23.1,0.17899,0,9.69,"0",0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6
"Revere",1704,-71.001,42.2525,19.7,19.7,0.2896,0,9.69,"0",0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14
"Revere",1705,-70.9947,42.2496,18.3,18.3,0.26838,0,9.69,"0",0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1
"Revere",1706,-71.005,42.2455,21.2,21.2,0.23912,0,9.69,"0",0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92
"Revere",1707,-70.9985,42.243,17.5,17.5,0.17783,0,9.69,"0",0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1
"Revere",1708,-70.992,42.238,16.8,16.8,0.22438,0,9.69,"0",0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33
"Winthrop",1801,-70.986,42.2312,22.4,22.4,0.06263,0,11.93,"0",0.573,6.593,69.1,2.4786,1,273,21,391.99,9.67
"Winthrop",1802,-70.991,42.2275,20.6,20.6,0.04527,0,11.93,"0",0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08
"Winthrop",1803,-70.9948,42.226,23.9,23.9,0.06076,0,11.93,"0",0.573,6.976,91,2.1675,1,273,21,396.9,5.64
"Winthrop",1804,-70.9875,42.224,22,22,0.10959,0,11.93,"0",0.573,6.794,89.3,2.3889,1,273,21,393.45,6.48
"Winthrop",1805,-70.9825,42.221,11.9,19,0.04741,0,11.93,"0",0.573,6.03,80.8,2.505,1,273,21,396.9,7.88
